title,watched,notes,tmdb_id
The Voices,2018-05-12,"More gruesome than funny, but overall decent.",244458
On the Waterfront,2018-05-15,Don’t worry I ain’t gonna hurt nobody.,654
Rescue Dawn,2018-05-17,"Could have been terrible in the wrong hands, but Herzog handled it well.",9952
Black Panther,2018-05-20,Less superhero-y than other Marvel - which I liked.,284054
Small Faces,2018-05-20,Gud.,42758
Dunkirk,2018-05-21,"Not sure about the multiple timelines, but spectacular.",374720
The Death of Stalin,2018-05-24,"Was fun, especially Jason Isaacs' star turn.",402897
"Three Billboards Outside Ebbing, Missouri",2018-05-27,"Didn't disappoint. The trailer was a sweary masterpiece, but the whole thing had way more depth.",359940
Inherent vice,2018-05-28,Is it possible to get stoned watching a film?,171274
Downsizing,2018-06-03,"Something, something, size related critical zinger.",301337
Justice League,2018-06-06,I'm sure someone has a checklist somewhere on how to make a modern superhero film. Meh.,141052
Prime Cut,2018-06-10,"Pretty visceral all round, and not sure it was redeemed by the charismatic leads even though they were great.",27292
Small town crime,2018-06-13,Tight with some issues.,412000
Free Fire,2018-06-27,"sort of silly, but ok if you go with it.",334521
Clear and Present Danger,2018-06-30,Goodies and Baddies. and lots of patriotic trumpets.,9331
Jumanji welcome to the jungle,2018-07-04,Nicely done.,353486
Our kind of traitor,2018-07-08,Good actors paying the bills. Most egregious thing? Damien Lewis' Glasses.,205588
The train,2018-07-08,Pretty tense. Especially liked the end where they spelled out the greats of French Art on the crates.,3482
The Manchurian Candidate,2018-07-10,"Wee bit long, but nicely played out.",14462
Thor ragnarock,2018-07-13,Worked well in the end. Not sure about Hulk talking.,284053
Darkest hour,2018-07-13,Bit corny.,399404
Game Night,2018-07-19,That was fun.,445571
3:10 to Yuma,2018-07-21,"Not sure I bought it, but a decent ride around some Western tropes.",5176
The Shape of Water,2018-07-21,Beautifully strange.,399055
The Way Way Back,2018-07-22,Lesson in how to lift a solid story with performances.,147773
The Ballad of Lefty Brown,2018-07-24,Rather good.,438457
The Purge,2018-07-28,"Started interesting, then the cartoon baddie arrived and it went downhill.",158015
The 12th Man,2018-07-28,Flippin Heck! that was pretty gruelling. 'Based on true story' can often be a bit 'meh' - not this one. Fantastically put together.,435577
The Commuter,2018-07-28,I was in the mood for something trashy - It was better than that.,399035
No Home Movie,2018-07-29,"Feels wrong to rate this - long, still shots where nothing happens except you are thinking. Patience in spades, letting things play out.",354388
Beirut,2018-07-29,"Spy procedural with a sprinkling of stardust.

",399248
Separado,2018-07-30,My (Scottish) wife has a theory that the Welsh are a bit mental - never more so than evidenced by the children's TV. Whilst this isn't kids TV it does have plenty of bonkers moments and is all the better for it.,52014
The Post,2018-08-04,Every true story pic has to have the sweepy orchestral bit. But it’s better when you have good actors.,446354
Den of Thieves,2018-08-04,"Was hoping for decent action thriller, but the main action seems to tedious macho meat sacks of various stereotypes, delivering hokey lines through a fug of tattoo ink and protein shakes.

Impressive in that almost none of the characters are likeable.

And then the heist bit was pretty good. And then it got all testosterone again.",449443
Miss Oyu,2018-08-08,"Short stepping, restrictive kimono based love triangle.",46043
The Babadook,2018-08-11,"AUDITION:

“Could you show us your anguished howl?”

“GRRERERGHNNNGAAAAHHHH!!”

“Yup. That’ll do it”",242224
All the money in the world,2018-08-12,"Solid enough.

",446791
Mean Girls,2018-08-12,"I was curious. Wasn't terrible but i'm probably some way out of this particular venn diagram.
",10625
Young Offenders,2018-08-13,Great fun.,408159
Deadpool 2,2018-08-14,Peaks and troughs. I liked the peaks - troughs weren't too bad to bring it all down.,383498
12 Strong,2018-08-15,"So much action, so little drama.

I’d have liked to see a whole film about the CIA guy.",429351
A prayer before dawn,2018-08-16,"Not quite sure why I watched that. Convincingly brutal and impressively executed, not sure to what end.",448776
Intolerable Cruelty,2018-08-18,I do enjoy George in full mugging mode.,11775
Things to come,2018-08-19,Nothing much happens in a compelling way. Performance.,374465
The Punk Singer,2018-08-21,Educational - no clue how I missed her/them at the time.,178290
The Big Short,2018-08-22,Fascinating,318846
Set it off,2018-08-25,"Like so many 90s films, so frantic, but half decent.",9400
The Lion in Winter,2018-08-26,Full on regal play.,18988
The Evil Dead,2018-08-27,"The Airbnb rating for that cabin’s gonna be shit.

Hilarious, those demons love a good laugh.

Also quite stylish.",764
Dazed and confused,2018-08-28,"Interesting strategy. Start with objectionable, unpleasant characters and make them bearable over the course of the film.",9571
Pride,2018-09-01,Bit corny but solid performances all round elevated it.,234200
The Reluctant Fundamentalist,2018-09-02,Great central performance couldn't carry it all. Bit slow,121677
Early Man,2018-09-04,A pleasure.,387592
The Abyss,2018-09-08,Like two films in one. One better than the other.,2756
Rampage,2018-09-14,Key thing with silly action films is to keep moving and have some charisma. Boxes ticked.,427641
Aliens,2018-09-18,How did I forget this was so good?,679
Cockneys vs Zombies,2018-09-21,"Bit one note, but had enough moments",114606
Prince Avalanche,2018-09-22,Especially liked the music.,113148
Contact,2018-09-23,Watchable.,686
Ready Player One,2018-09-22,"Charlie and the Chocolate Factory full of steroid laced chocolate.

Sorta fun.",333339
Carnage: Swallowing the Past ,2018-10-04,Why do you keep shaving me? I’m cold.,447758
Joy,2018-10-06,Ok for a slightly hungover Saturday morning watch,274479
Gomorrah,2018-10-06,Bleak.,8882
Bound,2018-10-09,"Steamy, then messy.",9303
American interior,2018-10-10,Nice,253318
The Blue Dahlia,2018-10-11,Soft Boiled,16090
Green Room,2018-10-13,Tense. and bloody.,313922
The Secret life of Bees,2018-10-14,Inoffensive enough.,12837
Paprika,2018-10-14,Incredible trippy virtuosity,4977
U-571,2018-10-18,"""He didn't give up, did he?""
""Neither did you Mr Tyler""

Oof! - Loses a half a star right there.

Tropetastic",3536
Fruitvale Station,2018-10-20,A tough but worthy progression to a tragic end.,157354
The Texas Chain Saw Massacre,2018-10-22,Curiosity satisfied. Apart from - What happened to that poor lorry driver?,30497
I am not your negro,2018-11-01,Thorny,411019
Battle of the Sexes,2018-11-06,That was fun.,369192
Path of Blood,2018-11-08,Pretty grisly.,531664
Kingsman: The Secret Service,2018-11-11,Some good bits. Some clunky. And gratuitous ending.,207703
Audition,2018-11-12,"Pretty slow for a long while, then suddenly batshit crazy.",11075
Ordet,2018-11-18,Impressive.,48035
Escape from New York,2018-11-19,Had a certain something.,1103
The Battle of Algiers,2018-11-20,Remarkably even handed and compelling.,17295
The Siege,2018-11-21,Even Denzil couldn’t put the brakes on once this started to slide. Shame - it started well.,9882
Black Sea,2018-11-25,No Bad.,246080
Paisan,2018-11-27,Surprisingly brutal in parts and lyrical in others,8429
