title,watched,notes,tmdb_id
Milk,2017-02-05,Pretty good and engaging performance by Sean Penn. ,10139
Amy,2017-02-06,Seemed fair. and so sad.,331781
Arrival,2017-02-07,Nicely done throughout. Nice reveal/twist.,329865
"Kumiko, The Treasure Hunter",2017-02-12,"Beguiling, sad,  and weirdly uplifting. ",244563
The Enemy Below,2017-02-18,"Some really clunky philosophical dialogue, but then plenty of the usual submarine tropes are well done.",15876
The Ipcress File,2017-02-20,"Visually interesting throughout, sharp and cool - Michael Caine at his best. ""My name is HARRY PALMER""",15247
Chicago,2017-02-21,"Apparently, I like musicals now. ",1574
Elysium,2017-02-22,"Gritty, interesting start, gradually tapering off to generic. Strangely flat performance from usually great Jodie Foster.",68724
A Most Wanted Man,2017-02-26,Low-key and tense with lots of good preformances from a big name cast.,157849
Hoosiers,2017-02-27,"Montage-tastic, with a healthy dose of eighties drums. Cheesy and enjoyable. ",5693
Apocalypto,2017-02-27,A non urban action film without crappy dialogue. ,1579
Adaption.,2017-02-27,"Keeps turning inside out, but not self-consciously -  in an interesting and engaging way.",2757
Lord of War,2017-02-28,"Watchable, if perhaps a little jolly for what is at heart a pretty depressing trade.",1830
Breathless,2017-03-02,Apparently it was revolutionary. Didn't like or care about the characters.,269
Sausage Party,2017-03-03,Funny moments - not enough to relieve the increasing boredom.,223702
Crossfire,2017-03-04,"Classy, if a little blunt in it's message. A message that 70 years later is sadly all too relevant.",28120
The Searchers,2017-03-04,"Some dodgy politics, but epic and with unexpected funny bits.",3114
Secretary,2017-03-05,Fan of Maggie Gyllenhaal and more so after this. A lesser actor could have cocked it up. ,11013
They Might Be Giants,2017-03-08,Top marks for oddness. Strangely engaging for such a knockabout and whimsical thing.,27841
Thank You for Smoking,2017-03-12,"Good actors, but strangely flat -  not enough bite for a satire.",9388
The Diving Bell and the Butterfly,2017-03-14,"Chock full of beautifully composed scenes, with terrific performances all round and neither maudlin or uplifting - much more than that.",2013
The Second Mother,2017-03-15,"Good to get away from big concept, tricksy set piece films. Warm and real.",310569
The Night of the Hunter,2017-03-21,"Great lighting making a great looking film with a superb Robert Mitchum, but a weird ending.",3112
Prisoners,2017-03-25,Nice twists and tension - So many thrillers aren't thrilling. This was certainly tense and very good.,146233
Five Easy Pieces,2017-03-29,"Jack Nicholson effortlessly tormented, restless and charismatic.",26617
Cries and Whispers,2017-04-01,"Cold, hard and distant looks abound. Claustrophobic atmosphere filled with mostly isolated and cruel people.",10238
The Girl with all the Gifts,2017-04-01,Solid all round. Just right amount of action and apocalyptic pondering.,375366
St. Vincent,2017-04-10,"Actors I like, doing their best with a pretty sentimental by the numbers effort.",239563
The Terminator,2017-04-12,Stands up well and rattles along.,218
Doctor Strange,2017-04-13,"Trippy, spectacular fun.",284052
The Verdict,2017-04-18,"Rock solid courtroom drama, elevated by ol'blue eyes.",24226
Bad Lieutenant,2017-04-20,Better than I remembered. How to make you care about a Bad man? get Harvey to act the shit out of it.,12143
The Lady in the Van,2017-04-22,"Tender tale about guilt, faith and loss - which was more enjoyable than I've make it sound.",328589
A Most Violent Year,2017-04-22,"Gripping intrigue in the 1980s New York heating oil business. No really, it was excellent.",241239
Before Sunrise,2017-04-24,"Mild irritation, building to annoyance. Couldn't stick it out. 1.5 stars for looking ok in bits.",76
Stroszek,2017-04-25,"We are all dancing animals. Warm, funny and tragic. Wasn't sure what to expect and put me in the mood straight away.",11698
Rogue One: A Star Wars Story,2017-04-26,"Jolly good fun, once it'd built up some steam.",330459
The New World,2017-04-27,"Lyrical. What cleverer people than me have called his films. There's certainly some kind of elemental feeling I can't pin down, and I end up soaking in all in.",11400
Black Swan,2017-04-28,Wasn't sure what to expect - it was a corker. Melodramatic in the very best way.,44214
High Rise,2017-04-29,"Started well, but got gradually less interesting. Reached peak montage about two thirds of the way in.",254302
Brother,2017-04-30,You'd think that people who's trade is killing would be harder to kill. All in giant 90s suits. Is nihilistic Zen a thing?,327
The Insider,2017-05-02,"Restless camera, pretty intrusive music, not necessarily bad things, not quite doing it for me.",9008
Near Dark,2017-05-04,The baddies were the best thing about it. Honourable mention for music ,11879
Sink the Bismarck!,2017-05-06,"Steady as she goes - probably last of the Germans = Bad, British = Good type war films.",18780
The Accountant,2017-05-06,"Patchy. Strong action, bit lame on the inner angst, and mixed on the plot twists. Decent fun, if a bit long.",302946
Philomena,2017-05-07,Deftly done.,205220
The Wind Rises,2017-05-13,"Impressive animation, decent enough simple story, dragged a bit in the final third.",149870
McCabe & Mrs. Miller,2017-05-13,Gritty yet domestic take on the Western genre. Interesting.,29005
Elizabeth,2017-05-15,"Intrigue, plotting with ruffs galore.Bit hammy at times, but that's ok.",4518
Morven Callar,2017-05-22,Well that was good. Great mixing of visuals with focus and composition and audio. Once I let it wash over me it was great.,18602
The Bad Lieutenant: Port of Call – New Orleans,2017-05-27,Speciality Nic Cage - charismatic unhinged spiral.,11699
I Heart Huckabees,2017-05-29,"Pretty wacky, and had potential to be annoying, but turned out to be great fun.",1599
Blood Simple,2017-06-01,Lovely slow burn to a great climactic ending.,11368
Out of the Past,2017-06-04,"Stands up very well, such a cool, laconic gumshoe.",678
The Nice Guys,2017-06-14,Knockabout caper. I liked it.,290250
Blind,2017-06-18,"Occasionally baffling, but intriguingly funny too.",245844
Logan,2017-06-19,"Good old Wolverine, growling, slashing and stabbing. A Hero to us all.",263115
Colossal,2017-06-22,Liked the premise and while it wasn't super subtle it had a bit of depth.,339967
A Matter of Life and Death,2017-06-24,"Super saturated colour, melodramatic performances and weird ideas - pretty tidy.",28162
Hacksaw Ridge,2017-06-25,A feel good good war movie seems an oymoron. It was good apart from the fetishised slo-motion that seems ubiquitous in war movies these days.,324786
The Infiltrator,2017-06-25,"Plenty of the usual undercover tropes, but expertly handled.",325789
Babel,2017-06-26,"Trilogy of tragedies. Exhausting at times because of the tension, but beautifully put together.",1164
Elizabeth: The Golden Age,2017-06-27,Elizabeth: The Golden Age ,4517
Of Horses and Men,2017-07-03,"Like the previous Icelandic film I watched - 'Rams' , this had moments of great comedy and tragedy. Whole thing was lovely.",217708
Red Army,2017-07-03,"Interesting story competently told, but couldn't help feeling there was more that the filmmaker didn't manage to get",256876
Field of Dreams,2017-07-03,Just about the right side of schmaltz. Endearingly strange.,2323
City of God,2017-07-16,"Fast paced, snappy and stylish, which didn't wholly seem right considering the depressing subject. In the end was kinda ok about it, but a bit ambivalent",598
Monsters,2017-07-22,"Not a lot happens, but interesting nonetheless. Funnily, not a monsters film.",43933
Legend,2017-07-25,"Tom Hardy was interesting as always, but was mostly bored and sometimes irritated.",276907
Hidden Figures,2017-07-27,"Really enjoyable, but couldn't shake the feeling that things should be a lot further on than they are.",381284
Ivan's Childhood,2017-07-29,Beautifully composed and strangely domestic feel for a war film. I guess it isn't really a war film.,31442
War Machine,2017-07-29,"One of those films where if you've seen the trailer, you seen most of the best bits. Extra star for Tilda Swinton.",354287
John Wick,2017-08-09,Above average for a modern action film - which isn't saying much.Kinda fun signature 'shoot 'em up close' move. Special mention for a truly awful song in the soundtrack.,245891
The League of Gentlemen’s Apocalypse ,2017-08-11,Satisfyingly Mental,19723
The Odessa File,2017-08-16,"Bit broad strokes at times, but decent enough.",21489
Shell,2017-08-28,Claustraphobic in wide open space. Tense.,135990
A Woman under the Influence,2017-09-10,Compelling but uncomfortable viewing. Everyone seemed on the edge at sometime. Manic.,29845
Nostalgia,2017-09-16,"I'm not clever enough to work what the hell is going on, but I am patient enough to let it all unfold in front of me, and open enough to be intrigued.",1394
The Beckoning Silence,2017-09-16,Eloquent explanation of why people climb mountains.,58820
Killer Nun,2017-09-19,"Loopy, trippy and a bit nasty. Bit like the 70s.",42211
Helvetica,2017-09-20,"Broader than the title suggests, both a strength and a weakness.",13348
Control,2017-09-24,Monochrome and monotone - Samantha Morton had depth - more than the script. Maybe cos I was unsure about watching it in the first place it felt off.,5708
The Handmaid's Tale,2017-09-26,Felt longer. I guess the money spent on Faye Dunaway and Robert Duvall meant they couldn't stretch to a decent script.,20815
Moana,2017-09-27,Winning combination of cheesy and trippy bundled up in brilliant animation,277834
Guardians of the Galaxy Vol. 2,2017-09-30,"I wished the jokes were as funny as the writers thought they were. And the plot was pretty thin. Apart from that, was ok.",283995
Lifeboat,2017-10-01,Interesting bit of not too subtle propaganda which overdid it a bit at the end.,13321
Shadows,2017-10-01,"Manic and staccato energy to the whole thing, interesting but not exactly satisfying. ",15484
Wonder Woman,2017-10-03,"What a superhero movies should be all about - bit cheesy, but with cool action scenes. So good for being different.",15359
Persepolis,2017-10-05,Such subtle animation and strong story make a great package.,2011
The Master,2017-10-07,A great looking exploration of a lost character and someone who claims he can help.,68722
Baby Driver,2017-10-07,Is it possible to have too much music? Might be.,339403
Suicide Squad,2017-10-08,"Some good characters, some crap, some good actors, some crap, some good action, some crap, some good dialog some crap. everyone got a bit of stink on them.",297761
Wuthering Heights,2017-10-12,Pretty gruelling. Stylistically as well as emotionally. Certainly memorable.,9364
Snowden,2017-10-15,"Standard bio pic, never quite sure what isreal or extra drama. Laid on thick at the end.",302401
Jon Wick:Chapter 2,2017-10-17,"Started annoyingly silly, got amusingly ridiculous, then a bit boring and then engagingly stupid again.",324552
Shame,2017-10-19,Beautifully composed and subtly told. Loved the pacing.,76025
Unbroken,2017-10-21,By the numbers bio-pic.,227306
Alien: Covenant,2017-10-21,The more I see the xenomorph the less interesting it is. Fassbender is great as usual.,126889
T2 Trainspotting,2017-10-22,"Glad that it was good. Nearly overdid the montages, but saved it.",180863
Blade Runner 2049,2017-10-23,I liked the pace and plot. Slicked back hair is evidently the sign of baddie now. Lost points for the sound - ran out of ideas and used generic too loud rumbles - crap.,335984
Billion Dollar Brain,2017-10-23,"Favourite bits were Michael Caine and the sixties computers, the rest was a bit too mental.",4889
Ratcatcher,2017-10-25,A poetic journey through the wringer. Gotta watch it.,29698
Black Narcissus,2017-10-28,"Visually remarkable, lots of intense, significant looks in a full on melodrama.",16391
Foxcatcher,2017-10-28,"Pretty gripping, and it never felt like it was going to end well.",87492
The Conversation,2017-11-02,Outstanding,592
Conspirators of Pleasure,2017-11-04,Bonkers.,59892
Sightseers,2017-11-04,"Had it's moments, ran out of steam a little and then picked up.",117974
The Vietnam War,2017-11-06,Essential viewing,476618
Eyes of Laura Mars,2017-11-08,"There really was lots of everything in the seventies. Hair, smoking, rubbish, lingerie, and drama.",29143
Southpaw,2017-11-11,Usual boxing tropes. Unsubtle signposting with music throughout.,307081
Holy Motors,2017-11-11,way out in front for most baffling film of the year. Wierdly enjoyable.,103328
Crack in the World,2017-11-12,Pretty ropey - but who doesn't like an underground science lair.,30374
War Horse,2017-11-12,Schmaltzy Sunday afternoon fare.,57212
Crazy Heart,2017-11-12,"Simple story, made convincing with great actors.",25196
Dark Horse,2017-11-16,Lovely story put together with real flair.,297393
The Dance of Reality,2017-11-18,Operatic. Rather strange. Intriguing more than enjoyable.,137698
We Own the Night,2017-11-18,Solid story with proper actors.,2001
This Sporting Life,2017-11-19,"Big presence and performances in a gritty drama.

",18774
Berberian Sound Studio,2017-11-25,"Wonderful soundscapes. Sinister. And Italian sounds great.

",116811
The Man Who Wasn't There,2017-11-25,Turns out Noir is kind of soothing.,10778
Heart of Glass,2017-11-26,"Like a Medieval Twin Peaks episode - lots of great imagery, and gnomic statements.",27378
Fury,2017-11-26,War films have a lot of tropes - this navigated them well.,228150
Winter’s Bone,2017-11-27,Gritty.,39013
Cachē,2017-11-28,Those long still shots.,445
The Eiger Sanction,2017-11-29,Far odder than I remembered. Patchy.,20187
In a Lonely Place,2017-12-03,Tight.,17057
Spellbound,2017-12-09,Rather good.,4174
Oldboy,2017-12-09,"Pretty amazing, bittersweet visceral journey.",670
True Romance,2017-12-10,"On paper, there was a lot to like, on film it was a mess, with moments.",319
Red River,2017-12-11,Slightly lame ending.,3089
El Topo,2017-12-12,"Read the wikipedia page, save yourself some time. Totally bizarre, terrible sound - the occasional laugh out loud moment. I don't think I'm equipped to handle so much symbolism.",13041
The Happy Film,2017-12-14,Engaging,390298
Mirror,2017-12-17,"Enjoyed the quiet bits the best. Entrancing shots, but the reflections and poetry left me a bit cold.",1396
Lion,2017-12-17,"Great looking, right side of saccharine.",334543
Only God Forgives,2017-12-18,Tarantino meets Malick with a dash of Lynch.,77987
Saturn 3,2017-12-19,"This is tricky. 4 starts for the fun I had watching it, 1 star for the quality.

The kind of film to get your mates round, drink and watch. Plenty of fun to be had.",19761
Zero Days,2017-12-20,Interesting,380808
Unforgiven,2017-12-24,Worth watching again.,33
Toy Story 3,2017-12-25,So enjoyable.,10193
The Seven Five,2017-12-27,"Racketeer, Drug Dealer, Burglar, Dirty Cop, but no Rat. So that's ok then.",320882
The Wolverine,2017-12-29,Logan sure does carry a lot of films.,263115
The Big Heat,2017-12-29,"Hard-boiled. Even the dopey civilians, who were all packing. Gloria Grahame was great.",14580
Lawman,2017-12-31,Bleak and rather good.,42500
Under the Skin,2017-12-31,Horrifying and Mesmerising.,97370
