title,release,watched,URL,Source,notes,genre
Thief,1981,2021-10-11,,Box of Broadcasts,"James Caan building on his rep. Want a edgy, cool and nihilistic lead? He was your guy. Special mention for the music, until it went all power ballad at the end. and big shout out to the 80s version of aviators that everyone seemed to wear - smoky tints and all.",Crime
The Killers,1946,2021-10-21,,Box of Broadcasts,What a noir should be all about. Burt Lancaster has some subtlety - not something you'd normally associate with him - we rarely see 'the Grin' here.,Crime
The Lighthouse,2019,2021-12-05,icFU,Netflix,Intense. Bonkers. Impressive. and that's just Willem Dafoe.,Drama
The Court-Martial of Billy Mitchell,1955,2021-04-10,,Film4,,War
The Guilty,2018,2021-10-16,hw9i,Film4,"I had to watch this before I watched the remake, so now am intrigued how they'll compare.",Drama
The Crime of the Century,2021,2021-10-25,,NowTV,How do these people sleep at night? Mind- blowing.,Documentary
1917,2019,2021-09-27,jj4y,Netflix,"Wears it's war movie tropes lightly, which is hard to do.",War
Come to Daddy,2019,2021-09-21,lAqK,Film4,Well I wasn’t expecting that.,Comedy
Destroyer,2018,2021-09-25,gU4u,iPlayer,"Big fan of Nicole Kidman, and she’s strong enough to carry it but there were a few too many times where it dragged especially when it seemed like the momentum was picking up.",Crime
On the Basis of Sex,2018,2021-09-19,bhDq,iPlayer,"Standard legal procedural. Complete with sweeping orchestra at all the rights bits, and the inspirational clinching argument. But we’ll executed. Nice easy Sunday night watch.  ",Biopic
I Remember You,2017,2021-09-23,eYk8,iPlayer,the spectacular Icelandic scenery provides some ready made aura. Throw in some ethereal Nordic vibes and this was good.,Horror
Kate,2021,2021-09-11,m2qy,Netflix,,Action
Malcolm X,1992,2021-10-03,27WE,Netflix,"So much to admire here. What surprised me what the verve that it started with, going beyond a by the numbers bio pic.",Biopic
The Wipers Times,2013,2021-03-29,6y5g,iPlayer,,War
Lawrence of Arabia,1962,2021-04-03,2wRE,Box of Broadcasts,,War
My Octopus Teacher,2020,2021-04-10,prk2,Netflix,,Documentary
The Mauritanian,2021,2021-04-18,nWiM,Netflix,,Drama
Stowaway,2021,2021-04-24,ktMM,Netflix,,SciFi
Sound of Metal,2019,2021-04-25,i7Q4,Netflix,,Drama
Bernie,2011,2021-05-01,3eWe,Film4,,Crime
Outland,1981,2021-05-02,1W0E,Box of Broadcasts,,SciFi
Double Indemnity,1944,2021-05-05,297I,Box of Broadcasts,,Crime
Narc,2002,2021-05-08,1UPU,Film4,,Crime
Faults,2014,2021-05-13,79FA,Film4,,Drama
Midnight Run,,2021-05-18,1S3lTL,Box of Broadcasts,,Comedy
Missing Link,2019,2021-05-29,gn0O,Live TV,,Animation
Thelma,2017,2021-06-02,e7Ce,Film4,,Horror
Mirage,2018,2021-08-29,jeOm,Netflix,,SciFi
Legally Blonde,2001,2021-07-17,1ZNa,Live TV,,Comedy
A Simple Favor,,2021-08-15,24ydlh,iPlayer,,Crime
Sputnik,2020,2021-08-26,lUya,Netflix,,Horror
Wolfwalkers,,2021-06-20,,Apple TV,,Animation
The Witch,,2021-10-23,,Box of Broadcasts,"Atmospheric, compelling and thoughtful. ",Horror
Journeyman,,2021-03-31,,Film4,,Sports
Castles in the Sky,,2021-10-28,,Box of Broadcasts,Like that Eddie Izzard looks like Herr Flick in the poster.,History
Land of Mine,,2021-04-04,,iPlayer,,War
